frame,timestamp,side,event_type
14,0.7331,L,heel_strikes
47,1.8329,L,heel_strikes
77,2.8326,L,heel_strikes
110,3.9323,L,heel_strikes
145,5.0987,L,heel_strikes
174,6.0651,L,heel_strikes
195,6.765,L,heel_strikes
221,7.6314,L,heel_strikes
256,8.7978,L,heel_strikes
286,9.7975,L,heel_strikes
352,11.997,L,heel_strikes
385,13.0967,L,heel_strikes
412,13.9965,L,heel_strikes
453,15.3628,L,heel_strikes
30,1.2663,L,toe_offs
63,2.3661,L,toe_offs
94,3.3991,L,toe_offs
127,4.4989,L,toe_offs
159,5.5653,L,toe_offs
185,6.4317,L,toe_offs
217,7.4981,L,toe_offs
226,7.798,L,toe_offs
265,9.0977,L,toe_offs
341,11.6304,L,toe_offs
373,12.6968,L,toe_offs
404,13.7299,L,toe_offs
432,14.663,L,toe_offs
14,0.7331,L,mid_stances
47,1.8329,L,mid_stances
77,2.8326,L,mid_stances
110,3.9323,L,mid_stances
145,5.0987,L,mid_stances
174,6.0651,L,mid_stances
196,6.7983,L,mid_stances
262,8.9977,L,mid_stances
339,11.5638,L,mid_stances
372,12.6635,L,mid_stances
403,13.6966,L,mid_stances
431,14.6297,L,mid_stances
36,1.4663,R,heel_strikes
76,2.7993,R,heel_strikes
112,3.999,R,heel_strikes
177,6.1651,R,heel_strikes
210,7.2648,R,heel_strikes
223,7.6981,R,heel_strikes
241,8.2979,R,heel_strikes
289,9.8975,R,heel_strikes
319,10.8973,R,heel_strikes
349,11.897,R,heel_strikes
384,13.0634,R,heel_strikes
421,14.2964,R,heel_strikes
451,15.2962,R,heel_strikes
59,2.2328,R,toe_offs
91,3.2992,R,toe_offs
124,4.3989,R,toe_offs
185,6.4317,R,toe_offs
217,7.4981,R,toe_offs
231,7.9647,R,toe_offs
268,9.1977,R,toe_offs
300,10.2641,R,toe_offs
328,11.1972,R,toe_offs
361,12.2969,R,toe_offs
404,13.7299,R,toe_offs
430,14.5963,R,toe_offs
58,2.1994,R,mid_stances
90,3.2658,R,mid_stances
123,4.3656,R,mid_stances
184,6.3984,R,mid_stances
216,7.4648,R,mid_stances
229,7.898,R,mid_stances
263,9.0311,R,mid_stances
289,9.8975,R,mid_stances
321,10.9639,R,mid_stances
349,11.897,R,mid_stances
384,13.0634,R,mid_stances
421,14.2964,R,mid_stances
